dump line| message    | work id  | digitised b numbers            | Sierra system b numbers
  235567 |            | bbrnatyj | b30571261                      | b15147447,b30571261
  235590 |            | xgb2w72s | b3057853x                      | b15168347,b3057853x
  235616 |            | bxrvde4f | b29355746                      | b29355746
  235651 |            | twdh3d2q | b28813637                      | b28813637
  235671 |            | uvwcjgjn | b20445088                      | b20445088
  235710 |            | t6c8p43w | b2887707x                      | b2887707x
  235737 |            | c3j99fxd | b28110092                      | b12157181,b28110092
  235753 |            | esfwgdga | b16750172                      | b16750172
  235778 |            | te3q37nn | b22387250                      | b22387250
  235803 |            | z97uz2ym | b22393535                      | b22393535
  235827 |            | guzc63t3 | b31475656                      | b31475656
  235871 |            | vq5dk2pa | b30072190                      | b30072190
  235888 |            | xxhc3mdh | b30475119                      | b1285993x,b30475119
  235916 |            | ej5kswxk | b31477136                      | b31477136
  235944 |            | dqwpqba8 | b3029549x                      | b3029549x
  235974 |            | qajaq98k | b29102765                      | b29102765
  235994 |            | gvbqkpem | b29933407                      | b29933407
  236008 |            | hr6r5h7e | b30197284                      | b30197284
  236038 |            | sw9gnkqj | b2950031x                      | b2950031x
  236060 |            | x4hxzvr9 | b2909074x                      | b2909074x
  236090 |            | je7vv2ek | b29898584                      | b29898584
  236104 |            | dek4u34k | b29532553                      | b29532553
  236128 |            | pttekbs6 | b31355353                      | b1131574x,b31355353
  236150 |            | ju6z47g9 | b2151835x                      | b2151835x
  236180 |            | jh9fmz39 | b2146554x                      | b2146554x
  236207 |            | adzk63va | b2120357x                      | b2120357x
  236235 |            | xd3mu42s | b20471257                      | b20471257
  236259 |            | d92ev7w7 | b30410599                      | b10884634,b30410599
  236291 |            | zrpvdn49 | b22292457                      | b22292457
  236312 |            | fdh432tq | b22471820                      | b22471820
  236338 |            | kmjxwfvx | b24863786                      | b11074802,b24863786
  236371 |            | dxzmb9ed | b21514331                      | b21514331
  236395 |            | dsq4udj7 | b30294514                      | b30294514
  236426 |            | x9fg6f6y | b30611295                      | b15182198,b30611295
  236459 |            | p3888tk4 | b24883979                      | b15410651,b24883979
  236487 |            | etrdhsqm | b15506496                      | b15506496
  236529 |            | vw2ugs64 | b30017841                      | b30017841
  236553 |            | thd8zbrp | b28709561                      | b12139014,b28709561
  236572 |            | s6q2xbrk | b21116325                      | b21116325
  236592 |            | gecykrsk | b31477161                      | b31477161
  236614 |            | ergvhy9e | b21138138                      | b21138138
  236647 |            | upd3cdsw | b21482147                      | b21482147
  236662 |            | yrwqfj26 | b30788596                      | b15077561,b30788596
  236694 |            | h85z77g8 | b16746004                      | b16746004
  236727 |            | uke4jwp7 | b16706286                      | b16706286
  236768 |            | sp2vkjm2 | b30195202                      | b30195202
  236794 |            | jgpgqfnu | b20297063                      | b15846155,b20297063
  236830 |            | akybff8t | b2493043x                      | b2493043x
  236856 |            | pg2m9w7h | b22366155                      | b22366155
  236886 |            | gxx8475z | b21215170                      | b21215170
  236913 |            | wm4c74eq | b30131832                      | b30131832
  236939 |            | ashp5hyg | b3014971x                      | b3014971x
  236963 |            | xk5887js | b3050983x                      | b10773757,b3050983x
  236986 |            | bdgwwky9 | b21165658                      | b21165658
  237004 |            | n2n5zygg | b21230766                      | b21230766
  237035 |            | mz28twse | b29723723                      | b29723723
  237065 |            | j8wb7ycm | b30040541                      | b30040541
  237093 |            | zskte4pp | b28908806                      | b28908806
  237118 |            | brwpktax | b30259289                      | b30259289
  237152 |            | bq2x4d5h | b28819706                      | b28819706
  237181 |            | arsy9hxe | b22304459                      | b22304459
  237202 |            | xwqf2zsb | b31360051                      | b12713016,b31360051
  237237 |            | swknndas | b24850329                      | b10034705,b24850329
  237254 |            | fzwetu3t | b28814447                      | b28814447
  237273 |            | nyp4yyq4 | b21209698                      | b21209698
  237306 |            | cedfxfx2 | b29205700                      | b29205700
  237335 |            | x9e847h8 | b3031415x                      | b15228824,b3031415x
  237374 |            | av5npttk | b30037438                      | b30037438
  237398 |            | frm7nhey | b21223129                      | b21223129
  237424 |            | wzxbv6vn | b22393845                      | b22393845
  237450 |            | u7rjfvcv | b28871728                      | b28871728
  237485 |            | bgmxjarx | b30503322                      | b10334245,b30503322
  237512 |            | eqf9txy3 | b21922731                      | b21922731
  237534 |            | utz7gfa5 | b24874930                      | b12888400,b24874930
  237570 |            | x9wmp2v6 | b16745632                      | b16745632
  237595 |            | k39qtxuq | b24768509                      | b24768509
  237634 |            | tt6xbjhk | b30275829                      | b30275829
  237658 |            | nv9gpek2 | b21215376                      | b21215376
  237688 |            | m825g9c2 | b28954609                      | b28954609
  237711 |            | j3bnv6mx | b28775296                      | b28775296
  237739 |            | tc4558mn | b29112217                      | b29112217
  237758 |            | arnqawsw | b21287752                      | b21287752
  237780 |            | jx3nbysj | b29903282                      | b29903282
  237804 |            | cgmbs5mh | b21731287                      | b21731287
  237842 |            | d59aghu4 | b30090982                      | b30090982
  237861 |            | vet8fw6p | b21221509                      | b21221509
  237895 |            | hgrduxc2 | b29925599                      | b29925599
  237924 |            | nct28as3 | b28927527                      | b28927527
  237941 |            | g3cgasgs | b21357791                      | b21357791
  237957 |            | zgf9b9cd | b19822923                      | b19822923
  237982 |            | uttd3whr | b28927084                      | b28927084
  238013 |            | jfwazhdy | b24401390                      | b24401390
  238039 |            | s4ehhmv8 | b16530068                      | b16530068
  238072 |            | cuksvmez | b24886841                      | b15551544,b24886841
  238104 |            | fezuevr8 | b28054775                      | b10132442,b28054775
  238133 |            | c97fnub2 | b29170102                      | b29170102
  238159 |            | zughkjhw | b21359891                      | b21359891
  238181 |            | qngw27k8 | b28828616                      | b28828616
  238209 |            | sksbbv77 | b30331353                      | b11574653,b30331353
  238227 |            | g3zvzr3v | b28865996                      | b28865996
  238251 |            | h8a8mz7z | b29494655                      | b29494655
  238277 |            | paqbcc9z | b30530362                      | b12805257,b30530362
  238300 |            | ynybsjq8 | b31493452                      | b31493452
  238325 |            | u98fzkmk | b29322613                      | b12183283,b29322613
  238363 |            | hq8u4mxm | b30123495                      | b30123495
  238383 |            | be4pypfp | b19783395                      | b19783395
  238406 |            | xdc297ae | b21455892                      | b21455892
  238439 |            | bryr5jqd | b21535255                      | b21535255
  238480 |            | swmbft8c | b18239961                      | b18239961
  238510 |            | eupctf7e | b30046397                      | b30046397
  238544 |            | weprr7vg | b16664693                      | b16664693
  238564 |            | vzradys9 | b29912210                      | b29912210
  238595 |            | bhk8xcz3 | b30613784                      | b15177920,b30613784
  238616 |            | qxyxdzrf | b30202632                      | b30202632
  238648 |            | s54dwkt7 | b28855723                      | b28855723
  238667 |            | hx44mhgx | b29729567                      | b29729567
  238688 |            | ahkpx49e | b30459837                      | b18114192,b30459837
  238718 |            | hykqkx5v | b3006417x                      | b3006417x
  238749 |            | vngas5tr | b21916536                      | b21916536
  238770 |            | h2fdy9sh | b21645814                      | b21645814
  238812 |            | u5rmbxpa | b30748276                      | b16479282,b30748276
  238834 |            | ynrnx2kw | b21639516                      | b21639516
  238862 |            | jd8pkbcp | b11592734                      | b11592734
  238891 |            | nquh3vwv | b16898734                      | b16898734
  238919 |            | nfwhuvad | b31697732                      | b31697732
  238956 |            | yvqg6mqh | b21070647                      | b21070647
  238993 |            | jk7ssj4k | b29126654                      | b29126654
  239030 |            | g7knzgbg | b2876416x                      | b10990914,b2876416x
  239062 |            | pnn9bhez | b29990725                      | b29990725
  239097 |            | r78xrffu | b21454681                      | b21454681
  239129 |            | azvt3464 | b21020735                      | b21020735
  239147 |            | nmz8jpqm | b22279179                      | b22279179
  239172 |            | rpq7kz4p | b28101765                      | b11516033,b28101765
  239195 |            | c2dsd546 | b21909040                      | b21909040
  239228 |            | rj6qua3k | b31914731                      | b15056107,b31914731
  239248 |            | j45vc4jn | b28966818                      | b28966818
  239273 |            | yus5w4bw | b28920144                      | b28920144
  239295 |            | crzf6t9x | b28082515                      | b10921849,b28082515
  239333 |            | ecvgy895 | b22366349                      | b22366349
  239359 |            | fbzt5k8t | b24927387                      | b24927387
  239390 |            | v6hwt7d8 | b30091421                      | b30091421
  239416 |            | nrha8ase | b31887557                      | b15022766,b31887557
  239451 |            | hb2jrucg | b3000052x                      | b3000052x
  239476 |            | vbraq43d | b21438584                      | b21438584
  239492 |            | y36zyena | b22381545                      | b22381545
  239519 |            | ta7znbp9 | b29793567                      | b29793567
  239549 |            | thu2zwmv | b22356587                      | b22356587
  239565 |            | wdemq9ga | b29097228                      | b29097228
  239593 |            | kuxpb7tq | b22341201                      | b22341201
  239621 |            | m3vtdgxq | b30583111                      | b15192416,b30583111
  239637 |            | txdg5ndv | b29986084                      | b29986084
  239659 |            | mqpv8ry3 | b21690339                      | b21690339
  239699 |            | rusdqbg4 | b22396238                      | b22396238
  239716 |            | dg3jg3na | b22459522                      | b22459522
  239761 |            | uufwyd92 | b30115152                      | b30115152
  239783 |            | fpaym8tr | b29988482                      | b29988482
  239819 |            | na6xvmwg | b28637276                      | b28637276
  239859 |            | pzzc3nwp | b30235340                      | b30235340
  239883 |            | g83h79tb | b30541153                      | b13248078,b30541153
  239913 |            | z4685tu2 | b29262318                      | b29262318
  239942 |            | xyqaancv | b30296705                      | b30296705
  239961 |            | x57vtnf2 | b28844245                      | b28844245
  239989 |            | b9vgr7gr | b21473420                      | b21473420
  240025 |            | gpucmwvu | b29428750                      | b29428750
  240052 |            | edj4wgp4 | b30373530                      | b30373530
  240077 |            | hm6yp5r3 | b22448019                      | b22448019
  240101 |            | f7s6eq9f | b29791649                      | b29791649
  240120 |            | ykyr4psf | b22407650                      | b22407650
  240149 |            | p7prqyme | b29338001                      | b13027268,b29338001
  240170 |            | mge6dcrz | b1153638x                      | b1153638x
  240200 |            | bxrrs24z | b29349539                      | b10481369,b29349539
  240234 |            | r3dkhy5u | b20413634                      | b12696638,b20413634
  240253 | MISMATCH   | tuqgzkg5 | b17307569                      | b16467991
  240280 |            | x7aygwng | b21212946                      | b21212946
  240307 |            | pv74nt59 | b21155379                      | b21155379
  240327 |            | dqqq9j5v | b22463914                      | b22463914
  240352 |            | epzyknfz | b2942012x                      | b2942012x
  240377 |            | mf44u69w | b30235777                      | b30235777
  240406 |            | mn6pjcad | b29212698                      | b29212698
  240450 |            | xw8wdx25 | b22451213                      | b22451213
  240476 |            | cpp75beh | b3060025x                      | b15180785,b3060025x
  240506 |            | ed3bkjzw | b31486514                      | b31486514
  240534 |            | rvjg89b8 | b21718386                      | b21718386
  240573 |            | jqdsqkhd | b2238473x                      | b2238473x
  240594 |            | ujwh7a5n | b30079457                      | b30079457
  240622 |            | bwn4cewc | b30279331                      | b30279331
  240641 |            | bj7d9xr2 | b22474134                      | b22474134
  240672 |            | bvbvja69 | b30036732                      | b30036732
  240687 |            | jtwrqghu | b30796933                      | b12255440,b30796933
  240726 |            | r56m753t | b30072529                      | b30072529
  240751 |            | xxpb3avu | b30300885                      | b1464583x,b30300885
  240776 |            | uk5f5vae | b29753090                      | b29753090
  240801 |            | p25m5aj5 | b21981796                      | b21981796
  240840 |            | tddsdk4w | b30175203                      | b30175203
  240871 |            | ts3w42yh | b21299547                      | b21299547
  240890 |            | qg9nf4ty | b29102911                      | b29102911
  240935 |            | wbrf7dvx | b21050314                      | b21050314
  240976 |            | kvyfkbrr | b29170631                      | b29170631
  241001 |            | z9ngdhr7 | b30381770                      | b14589060,b30381770
  241032 |            | q4jjpjhy | b22271491                      | b22271491
  241080 |            | vd368rkq | b29193230                      | b29193230
  241105 |            | wutyxp5k | b28110973                      | b12171025,b28110973
  241131 |            | txfmh9tb | b22467762                      | b22467762
  241147 |            | xbgaw892 | b30120755                      | b30120755
  241167 |            | ehdnxu3s | b21730878                      | b21730878
  241192 |            | xnkrkgrh | b29302572                      | b10776631,b29302572
  241234 |            | vz94tgu7 | b28638190                      | b28638190
  241260 |            | vyveshdq | b30452648                      | b11538569,b30452648
  241299 |            | z624xu2k | b30067029                      | b30067029
  241336 |            | uxhf77y7 | b18238567                      | b18238567
  241363 |            | hnvxnguq | b24757846                      | b24757846
  241401 |            | f9af7w7t | b24914630                      | b24914630
  241423 |            | x6m43wxs | b28843009                      | b28843009
  241453 |            | gfc7vu8c | b21284210                      | b21284210
  241485 |            | tmgtqpte | b22338482                      | b22338482
